QuestionID,カテゴリ番号,うわさの内容,interest_データ数,interest_平均値,interest_SD,AOI_データ数,AOI_平均値,AOI_SD,privacy_データ数,privacy_平均値,privacy_SD,polarity_データ数,polarity_平均値,polarity_SD
1.0,1,Aさんは裏ブログを開設している,47,4.404255319148936,1.9522514813513354,47,5.127659574468085,1.278875546798755,46,6.5,1.0697871023920809,47,2.851063829787234,1.5177031187642573
1.0,2,Aさんは塾でバイトしている,48,3.9375,1.6032712569631675,48,3.6666666666666665,1.5755219781222025,48,3.0416666666666665,1.649736707985174,48,5.0625,0.9764514564526547
1.0,3,Aさんは新しいレストランに行っていない,47,2.5319148936170213,1.4573809717940156,48,2.9166666666666665,1.4266958305496658,47,3.297872340425532,1.7056796887868646,47,3.1914893617021276,0.9240341108031914
1.0,4,Aさんは落ち込んでいる,48,4.4375,1.5561306350019233,48,1.9375,0.8850111190550455,48,5.3125,1.3861971552385646,48,1.625,0.6058228095703765
1.0,5,Aさんは映画グッズを収集している,48,4.416666666666667,1.7483528215587611,48,3.375,1.2312422372581728,48,3.5208333333333335,1.9459678260808535,48,5.520833333333333,0.898925678733523
1.0,6,Aさんは映画を見ると心が落ち着く,48,4.0625,1.6683059314319613,48,2.625,1.0842194957173648,48,2.8958333333333335,1.7653832485283183,48,5.916666666666667,0.9186792863702073
1.0,7,Aさんはテストはいつも赤点だ,48,3.6458333333333335,1.6820653886312522,48,4.458333333333333,1.3984540603342133,48,5.854166666666667,1.610993922533451,48,1.5625,0.6812457300276098
1.0,8,Aさんは新型のスマートフォンを手に入れた,48,4.104166666666667,1.8246489995698365,48,2.4791666666666665,1.1106751508790234,48,2.5833333333333335,1.4117038646325368,48,6.0625,0.8096821020517736
1.0,9,Aさんは自宅のキッチンでパスタを作っている,48,3.9791666666666665,1.8041274585030913,48,1.7708333333333333,0.9048235594627639,48,2.3958333333333335,1.594399551266248,48,5.5625,0.9432007525306944
1.0,10,Aさんはチャンネルが収益化できた,46,5.782608695652174,1.1335890589580389,47,4.8936170212765955,1.604803151319995,47,4.76595744680851,1.7719157644794317,46,6.413043478260869,0.6856006922245218
1.0,11,Aさんは「朝ラン」を始めたらハマってしまった,48,4.479166666666667,1.6883780878037615,48,3.5833333333333335,1.3657409076945577,48,2.8333333333333335,1.6286443041694356,48,6.1875,0.7338690821851225
1.0,12,Aさんはフランス語を学んでいる,48,4.8125,1.5527086833399073,48,4.8125,1.331392647936259,48,2.7708333333333335,1.4621404207288295,48,5.895833333333333,0.8809951658604621
1.0,13,Aさんはおしゃべりが好き,48,3.9375,1.7793884916609186,48,1.6666666666666667,0.7532435771547092,48,2.2916666666666665,1.3831560170045485,48,5.791666666666667,0.9215697369932696
1.0,14,Aさんはよく本を読む,48,4.4375,1.7853571071357126,48,1.9583333333333333,0.8240618994859532,48,2.125,1.4384536614608803,48,5.770833333333333,1.0363516887114315
1.0,15,Aさんは朝ランをしている,48,4.166666666666667,1.754427024528853,48,3.4791666666666665,1.6501396889075177,48,2.9166666666666665,1.6481237989719062,47,5.9361702127659575,0.7041570760768396
1.0,16,Aさんは高校時代までバスケットボールをしていた,48,3.8125,1.6714912439864602,48,3.1041666666666665,1.1893066697071573,48,2.3958333333333335,1.3642796140264748,48,5.583333333333333,1.0070672257417181
1.0,17,Aさんはサーフィンをしたことがない,48,2.3125,1.3393591671853389,48,2.375,1.330893157148492,48,3.0833333333333335,1.541391100539605,47,3.4680851063829787,0.8301666629367979
1.0,18,Aさんはジャズの全曲を聴き通した,48,4.354166666666667,1.6946672720981448,47,5.340425531914893,1.4030494079229998,48,3.1041666666666665,1.741112182257557,48,5.541666666666667,0.8494887907875881
1.0,19,Aさんは最新の映画を頻繁に視聴している,48,4.604166666666667,1.567483188458265,48,2.75,1.1939564124764426,48,2.7083333333333335,1.6625836511776246,48,5.708333333333333,0.849488790787588
1.0,20,Aさんは家のローンを完済した,48,4.145833333333333,1.8792210171253603,48,3.2916666666666665,1.3984540603342135,48,4.9375,1.8149057768169135,48,6.5625,0.7964348753277306
1.0,21,Aさんはカメラを趣味にして、よくスナップ写真を撮っている,48,4.604166666666667,1.80707337548788,48,3.2083333333333335,1.3831560170045485,48,2.9791666666666665,1.6175840052944384,48,5.8125,0.8667928167872889
1.0,22,Aさんはコロナ禍でホームベーカリーを始めている,48,4.583333333333333,1.6989775815751766,48,3.9166666666666665,1.3500722334234538,48,2.7083333333333335,1.6237379168742216,48,5.541666666666667,0.8741764107793806
1.0,24,Aさんは観劇をした,48,4.395833333333333,1.620868999042408,48,3.3541666666666665,1.5366388206889174,48,2.7083333333333335,1.4285587638749664,48,5.833333333333333,0.7532435771547096
1.0,25,Aさんは映画を見に行った,48,4.3125,1.5865961156017474,48,1.4791666666666667,0.6184945116918239,48,2.2916666666666665,1.5839397868059724,48,5.833333333333333,0.9527861346806619
1.0,26,Aさんは近所のカフェで読書をしている,48,4.0,1.8101369408641024,48,2.4583333333333335,1.2709241625487944,48,3.0625,1.7673907923167296,48,5.520833333333333,0.8749366745068832
1.0,27,Aさんは夜更けまで本を読んでいる,48,4.0625,1.791305835346014,48,3.1666666666666665,1.22619170576659,48,3.4375,1.7247417321306955,48,4.3125,1.0945950383006222
1.0,28,Aさんは新たなカメラに30万円使った,48,4.875,1.552280408974199,48,5.104166666666667,1.1712801386178144,48,4.833333333333333,1.7785163950258893,48,4.666666666666667,1.0784806754763325
