QuestionID,カテゴリ番号,属性ペア,うわさの内容,interest_データ数,interest_平均値,interest_SD,AOI_データ数,AOI_平均値,AOI_SD,privacy_データ数,privacy_平均値,privacy_SD,polarity_データ数,polarity_平均値,polarity_SD
1.0,1,M1-F1,Aさんは裏ブログを開設している,11,4.636363636363637,2.2482316283126735,12,5.333333333333333,1.3706888336846839,11,6.7272727272727275,0.6466697906828632,11,3.5454545454545454,1.5724907862137931
1.0,1,M2-F2,Aさんは裏ブログを開設している,12,4.083333333333333,2.151461800448216,11,4.545454545454546,1.4396969378057567,11,6.0,1.7888543819998317,12,2.6666666666666665,1.5569978883230458
1.0,1,M3-F3,Aさんは裏ブログを開設している,12,4.833333333333333,1.3371158468430429,12,5.5,1.1677484162422844,12,6.583333333333333,0.7929614610987591,12,2.9166666666666665,1.4433756729740643
1.0,1,M4-F4,Aさんは裏ブログを開設している,12,4.083333333333333,2.108783937953269,12,5.083333333333333,1.0836246694508318,12,6.666666666666667,0.6513389472789295,12,2.3333333333333335,1.4354811251305468
1.0,2,M1-F1,Aさんは塾でバイトしている,12,4.166666666666667,1.337115846843043,12,3.8333333333333335,1.8504708655481243,12,3.1666666666666665,1.898963034411309,12,4.75,0.8660254037844386
1.0,2,M2-F2,Aさんは塾でバイトしている,12,3.6666666666666665,1.9694638556693242,12,4.166666666666667,1.5859229221975182,12,3.0,1.954016841836789,12,5.333333333333333,1.0730867399773196
1.0,2,M3-F3,Aさんは塾でバイトしている,12,4.166666666666667,1.5275252316519468,12,3.5,1.1677484162422844,12,2.8333333333333335,1.5275252316519468,12,5.083333333333333,0.90033663737852
1.0,2,M4-F4,Aさんは塾でバイトしている,12,3.75,1.6583123951777,12,3.1666666666666665,1.6422453217986943,12,3.1666666666666665,1.337115846843043,12,5.083333333333333,1.0836246694508318
1.0,3,M1-F1,Aさんは新しいレストランに行っていない,12,2.8333333333333335,1.4668044012461754,12,2.5833333333333335,1.2401124093721456,12,3.3333333333333335,1.8257418583505536,12,2.8333333333333335,0.8348471099367218
1.0,3,M2-F2,Aさんは新しいレストランに行っていない,12,2.5,1.834021909257456,12,2.5,1.381698559415515,12,3.0,1.7056057308448835,12,3.4166666666666665,1.0836246694508316
